"pvp","referencia","controlstock","imagen","codfamilia","codsubcuentairpfcom","descripcion","codsubcuentacom","tipocodbarras","costemedio","stockmax","stockfis","codimpuesto","codbarras","observaciones","stockmin","idsubcuentacom","idsubcuentairpfcom"
"0.0000000","#10","1",,"CAB",,"Cable P/power #10 Yarda",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"Capacitor papel de aluminio con","0.0000000",NULL,NULL
"0.0000000","#100","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","-1.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#102","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#1050","1",,"SWI",,"Switch",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#106","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#107","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#108","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#109","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#110","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#112","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#118","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#119","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#12","1",,"CAB",,"Cable rojo y negro",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#12/FAJA","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#120","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#121","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#122","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#125","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#126","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#12T","1",,"CAB",,"Cable duplex transparente",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#130","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#133","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#14","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#140","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#142","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#143","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#144","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#145","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#148","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#149","1",,"DVD",,"DVD-R 1.4 GB 4XMini Pquete 5u",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#151","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#152","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#153","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#18","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#19","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#19-010","1",,"CARG",,"CARGADOR DE BATERIA TORSEN",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"1.0000000",NULL,NULL
"0.0000000","#20","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","#21","1",,"FAJ",,"FAJA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
